wtB,B,shift_t,R,wA,cA,required_f,Kres,status
4,2344,3,16,3,2,2,0,PASS
5,295,0,13,2,1,2,1,PASS
5,590,1,14,2,1,2,1,PASS
5,1180,2,15,2,1,2,1,PASS
5,2360,3,16,2,1,2,1,PASS
4,297,0,13,3,2,2,0,PASS
4,594,1,14,3,2,2,0,PASS
4,1188,2,15,3,2,2,0,PASS
4,2376,3,16,3,2,2,0,PASS
5,299,0,13,2,1,2,1,PASS
5,598,1,14,2,1,2,1,PASS
5,1196,2,15,2,1,2,1,PASS
5,2392,3,16,2,1,2,1,PASS
5,301,0,13,2,1,2,1,PASS
5,602,1,14,2,1,2,1,PASS
5,1204,2,15,2,1,2,1,PASS
5,2408,3,16,2,1,2,1,PASS
6,303,0,13,1,0,2,2,PASS
6,606,1,14,1,0,2,2,PASS
6,1212,2,15,1,0,2,2,PASS
6,2424,3,16,1,0,2,2,PASS
4,305,0,13,3,2,2,0,PASS
4,610,1,14,3,2,2,0,PASS
4,1220,2,15,3,2,2,0,PASS
4,2440,3,16,3,2,2,0,PASS
5,307,0,13,2,1,2,1,PASS
5,614,1,14,2,1,2,1,PASS
5,1228,2,15,2,1,2,1,PASS
5,2456,3,16,2,1,2,1,PASS
5,309,0,13,2,1,2,1,PASS
5,618,1,14,2,1,2,1,PASS
5,1236,2,15,2,1,2,1,PASS
5,2472,3,16,2,1,2,1,PASS
6,311,0,13,1,0,2,2,PASS
6,622,1,14,1,0,2,2,PASS
6,1244,2,15,1,0,2,2,PASS
6,2488,3,16,1,0,2,2,PASS
5,313,0,13,2,1,2,1,PASS
5,626,1,14,2,1,2,1,PASS
5,1252,2,15,2,1,2,1,PASS
5,2504,3,16,2,1,2,1,PASS
6,315,0,13,1,0,2,2,PASS
6,630,1,14,1,0,2,2,PASS
6,1260,2,15,1,0,2,2,PASS
6,2520,3,16,1,0,2,2,PASS
6,317,0,13,1,0,2,2,PASS
6,634,1,14,1,0,2,2,PASS
6,1268,2,15,1,0,2,2,PASS
6,2536,3,16,1,0,2,2,PASS
4,325,0,13,3,2,2,0,PASS
4,650,1,14,3,2,2,0,PASS
4,1300,2,15,3,2,2,0,PASS
4,2600,3,16,3,2,2,0,PASS
5,327,0,13,2,1,2,1,PASS
5,654,1,14,2,1,2,1,PASS
5,1308,2,15,2,1,2,1,PASS
5,2616,3,16,2,1,2,1,PASS
4,329,0,13,3,2,2,0,PASS
4,658,1,14,3,2,2,0,PASS
4,1316,2,15,3,2,2,0,PASS
